CPT Code,Description of Information of CPTCode
E0181,"Powered pressure reducing mattress overlay/pad, alternating, with pump, includes heavy-duty"
E0182,"Pump for alternating pressure pad, for replacement only"
E0184,Dry pressure mattress
E0185,"Gel or gel-like pressure pad for mattress, standard mattress length and width"
E0186,Air pressure mattress
E0187,Water pressure mattress
E0188,Synthetic sheepskin pad
E0189,"Lambswool sheepskin pad, any size"
E0190,"Positioning cushion/pillow/wedge, any shape or size, includes all components and accessories"
E0191,"Heel or elbow protector, each"
E0192,"Low pressure and positioning equalization pad, for wheelchair"
E0193,Powered air flotation bed (low air loss therapy)
E0194,Air fluidized bed
E0196,Gel pressure mattress
E0197,"Air pressure pad for mattress, standard mattress length and width"
E0198,"Water pressure pad for mattress, standard mattress length and width"
E0199,"Dry pressure pad for mattress, standard mattress length and width"
E0200,"Heat lamp, without stand (table model), includes bulb, or infrared element"
E0202,Phototherapy (bilirubin) light with photometer
E0203,"Therapeutic lightbox, minimum 10,000 lux, table top model"
E0205,"Heat lamp, with stand, includes bulb, or infrared element"
E0210,"Electric heat pad, standard"
E0215,"Electric heat pad, moist"
E0217,Water circulating heat pad with pump
E0218,"Fluid circulating cold pad with pump, any type"
E0220,Hot water bottle
E0221,Infrared heating pad system
E0225,"Hydrocollator unit, includes pads"
E0230,Ice cap or collar
E0231,"Noncontact wound-warming device (temperature control unit, AC adapter and power cord) for use with warming card and wound cover"
E0232,Warming card for use with the noncontact wound-warming device and noncontact wound-warming wound cover
E0235,"Paraffin bath unit, portable (see medical supply code A4265 for paraffin)"
E0236,Pump for water circulating pad
E0237,WATER CIRCULATING HEAT/COLD PAD W/PUMP
E0238,"Nonelectric heat pad, moist"
E0239,"Hydrocollator unit, portable"
E0240,"Bath/shower chair, with or without wheels, any size"
E0241,"Bathtub wall rail, each"
E0242,"Bathtub rail, floor base"
E0243,"Toilet rail, each"
E0244,Raised toilet seat
E0245,Tub stool or bench
E0246,Transfer tub rail attachment
E0247,Transfer bench for tub or toilet with or without commode opening
E0248,"Transfer bench, heavy-duty, for tub or toilet with or without commode opening"
E0249,"Pad for water circulating heat unit, for replacement only"
E0250,"Hospital bed, fixed height, with any type side rails, with mattress"
E0251,"Hospital bed, fixed height, with any type side rails, without mattress"
E0255,"Hospital bed, variable height, hi-lo, with any type side rails, with mattress"
E0256,"Hospital bed, variable height, hi-lo, with any type side rails, without mattress"
E0260,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress"
E0261,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, without mattress"
E0265,"Hospital bed, total electric (head, foot, and height adjustments), with any type side rails, with mattress"
E0266,"Hospital bed, total electric (head, foot, and height adjustments), with any type side rails, without mattress"
E0270,"Hospital bed, institutional type includes: oscillating, circulating and Stryker frame, with mattress"
E0271,"Mattress, innerspring"
E0272,"Mattress, foam rubber"
E0273,Bed board
E0274,Over-bed table
E0275,"Bed pan, standard, metal or plastic"
E0276,"Bed pan, fracture, metal or plastic"
E0277,Powered pressure-reducing air mattress
E0280,"Bed cradle, any type"
E0290,"Hospital bed, fixed height, without side rails, with mattress"
E0291,"Hospital bed, fixed height, without side rails, without mattress"
E0292,"Hospital bed, variable height, hi-lo, without side rails, with mattress"
E0293,"Hospital bed, variable height, hi-lo, without side rails, without mattress"
E0294,"Hospital bed, semi-electric (head and foot adjustment), without side rails, with mattress"
E0295,"Hospital bed, semi-electric (head and foot adjustment), without side rails, without mattress"
E0296,"Hospital bed, total electric (head, foot, and height adjustments), without side rails, with mattress"
E0297,"Hospital bed, total electric (head, foot, and height adjustments), without side rails, without mattress"
E0298,"Hospital bed, heavy duty, extra wide, with any type side rails, with mattress"
E0300,"Pediatric crib, hospital grade, fully enclosed, with or without top enclosure"
E0301,"Hospital bed, heavy-duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, without mattress"
E0302,"Hospital bed, extra heavy-duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, without mattress"
E0303,"Hospital bed, heavy-duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, with mattress"
E0304,"Hospital bed, extra heavy-duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, with mattress"
E0305,"Bedside rails, half-length"
E0310,"Bedside rails, full-length"
E0315,"Bed accessory: board, table, or support device, any type"
E0316,"Safety enclosure frame/canopy for use with hospital bed, any type"
E0325,"Urinal; male, jug-type, any material"
E0326,"Urinal; female, jug-type, any material"
E0328,"Hospital bed, pediatric, manual, 360 degree side enclosures, top of headboard, footboard and side rails up to 24 in above the spring, includes mattress"
E0329,"Hospital bed, pediatric, electric or semi-electric, 360 degree side enclosures, top of headboard, footboard and side rails up to 24 in above the spring, includes mattress"
E0350,Control unit for electronic bowel irrigation/evacuation system
E0352,"Disposable pack (water reservoir bag, speculum, valving mechanism, and collection bag/box) for use with the electronic bowel irrigation/evacuation system"
E0370,Air pressure elevator for heel
E0371,"Nonpowered advanced pressure reducing overlay for mattress, standard mattress length and width"
E0372,"Powered air overlay for mattress, standard mattress length and width"
E0373,Nonpowered advanced pressure reducing mattress
E0424,"Stationary compressed gaseous oxygen system, rental; includes container, contents, regulator, flowmeter, humidifier, nebulizer, cannula or mask, and tubing"
E0425,"Stationary compressed gas system, purchase; includes regulator, flowmeter, humidifier, nebulizer, cannula or mask, and tubing"
E0430,"Portable gaseous oxygen system, purchase; includes regulator, flowmeter, humidifier, cannula or mask, and tubing"
E0431,"Portable gaseous oxygen system, rental; includes portable container, regulator, flowmeter, humidifier, cannula or mask, and tubing"
E0433,"Portable liquid oxygen system, rental; home liquefier used to fill portable liquid oxygen containers, includes portable containers, regulator, flowmeter, humidifier, cannula or mask and tubing, with or without supply reservoir and contents gauge"
E0434,"Portable liquid oxygen system, rental; includes portable container, supply reservoir, humidifier, flowmeter, refill adaptor, contents gauge, cannula or mask, and tubing"
E0435,"Portable liquid oxygen system, purchase; includes portable container, supply reservoir, flowmeter, humidifier, contents gauge, cannula or mask, tubing and refill adaptor"
E0439,"Stationary liquid oxygen system, rental; includes container, contents, regulator, flowmeter, humidifier, nebulizer, cannula or mask, & tubing"
E0440,"Stationary liquid oxygen system, purchase; includes use of reservoir, contents indicator, regulator, flowmeter, humidifier, nebulizer, cannula or mask, and tubing"
E0441,"Stationary oxygen contents, gaseous, 1 month's supply = 1 unit"
E0442,"Stationary oxygen contents, liquid, 1 month's supply = 1 unit"
E0443,"Portable oxygen contents, gaseous, 1 month's supply = 1 unit"
E0444,"Portable oxygen contents, liquid, 1 month's supply = 1 unit"
E0445,Oximeter device for measuring blood oxygen levels noninvasively
E0446,"Topical oxygen delivery system, not otherwise specified, includes all supplies and accessories"
E0447,"Portable oxygen contents, liquid, 1 month's supply = 1 unit, prescribed amount at rest or nighttime exceeds 4 liters per minute (LPM)"
E0450,"Volume control ventilator, without pressure support mode, may include pressure control mode, used with invasive interface (e.g., tracheostomy tube)"
E0452,Intermittent assist device with continuous positive airway pressure device (cpap)
E0453,Therapeutic ventilator; suitable for use 12 hours or less per day
E0454,"Pressure ventilator with pressure control, pressure support and flow triggering features"
E0455,"Oxygen tent, excluding croup or pediatric tents"
